,Estacion,Year,Mes,Valor_prom
706,GACHANTIVA [24010810],1978,11,
707,GACHANTIVA [24010810],1978,12,
708,GACHANTIVA [24010810],1979,1,
709,GACHANTIVA [24010810],1979,2,
710,GACHANTIVA [24010810],1979,3,
711,GACHANTIVA [24010810],1979,4,
712,GACHANTIVA [24010810],1979,5,
713,GACHANTIVA [24010810],1979,6,
714,GACHANTIVA [24010810],1979,7,
715,GACHANTIVA [24010810],1979,8,
716,GACHANTIVA [24010810],1979,9,
717,GACHANTIVA [24010810],1979,10,
718,GACHANTIVA [24010810],1979,11,
719,GACHANTIVA [24010810],1979,12,
720,GACHANTIVA [24010810],1980,1,
721,GACHANTIVA [24010810],1980,2,
722,GACHANTIVA [24010810],1980,3,
723,GACHANTIVA [24010810],1980,4,
724,GACHANTIVA [24010810],1980,5,
725,GACHANTIVA [24010810],1980,6,
726,GACHANTIVA [24010810],1980,7,
727,GACHANTIVA [24010810],1980,8,
728,GACHANTIVA [24010810],1980,9,
729,GACHANTIVA [24010810],1980,10,
730,GACHANTIVA [24010810],1980,11,
731,GACHANTIVA [24010810],1980,12,
732,GACHANTIVA [24010810],1981,1,
733,GACHANTIVA [24010810],1981,2,
734,GACHANTIVA [24010810],1981,3,
735,GACHANTIVA [24010810],1981,4,
736,GACHANTIVA [24010810],1981,5,
737,GACHANTIVA [24010810],1981,6,
738,GACHANTIVA [24010810],1981,7,
739,GACHANTIVA [24010810],1981,8,
740,GACHANTIVA [24010810],1981,9,
741,GACHANTIVA [24010810],1981,10,
742,GACHANTIVA [24010810],1981,11,
743,GACHANTIVA [24010810],1981,12,
744,GACHANTIVA [24010810],1982,1,
745,GACHANTIVA [24010810],1982,2,
746,GACHANTIVA [24010810],1982,3,
747,GACHANTIVA [24010810],1982,4,
748,GACHANTIVA [24010810],1982,5,
749,GACHANTIVA [24010810],1982,6,
750,GACHANTIVA [24010810],1982,7,
751,GACHANTIVA [24010810],1982,8,
752,GACHANTIVA [24010810],1982,9,
753,GACHANTIVA [24010810],1982,10,
754,GACHANTIVA [24010810],1982,11,
755,GACHANTIVA [24010810],1982,12,
756,GACHANTIVA [24010810],1983,1,
757,GACHANTIVA [24010810],1983,2,
758,GACHANTIVA [24010810],1983,3,
759,GACHANTIVA [24010810],1983,4,
760,GACHANTIVA [24010810],1983,5,
761,GACHANTIVA [24010810],1983,6,
762,GACHANTIVA [24010810],1983,7,
763,GACHANTIVA [24010810],1983,8,
764,GACHANTIVA [24010810],1983,9,
765,GACHANTIVA [24010810],1983,10,
766,GACHANTIVA [24010810],1983,11,
767,GACHANTIVA [24010810],1983,12,
768,GACHANTIVA [24010810],1984,1,
769,GACHANTIVA [24010810],1984,2,
770,GACHANTIVA [24010810],1984,3,
771,GACHANTIVA [24010810],1984,4,
772,GACHANTIVA [24010810],1984,5,
773,GACHANTIVA [24010810],1984,6,
774,GACHANTIVA [24010810],1984,7,
775,GACHANTIVA [24010810],1984,8,
776,GACHANTIVA [24010810],1984,9,
777,GACHANTIVA [24010810],1984,10,
778,GACHANTIVA [24010810],1984,11,
779,GACHANTIVA [24010810],1984,12,
780,GACHANTIVA [24010810],1985,1,
781,GACHANTIVA [24010810],1985,2,
782,GACHANTIVA [24010810],1985,3,
783,GACHANTIVA [24010810],1985,4,
784,GACHANTIVA [24010810],1985,5,
785,GACHANTIVA [24010810],1985,6,
786,GACHANTIVA [24010810],1985,7,
787,GACHANTIVA [24010810],1985,8,
788,GACHANTIVA [24010810],1985,9,
789,GACHANTIVA [24010810],1985,10,
790,GACHANTIVA [24010810],1985,11,
791,GACHANTIVA [24010810],1985,12,
792,GACHANTIVA [24010810],1986,1,
793,GACHANTIVA [24010810],1986,2,
794,GACHANTIVA [24010810],1986,3,
795,GACHANTIVA [24010810],1986,4,
796,GACHANTIVA [24010810],1986,5,
797,GACHANTIVA [24010810],1986,6,
798,GACHANTIVA [24010810],1986,7,
799,GACHANTIVA [24010810],1986,8,
800,GACHANTIVA [24010810],1986,9,
801,GACHANTIVA [24010810],1986,10,
802,GACHANTIVA [24010810],1986,11,
803,GACHANTIVA [24010810],1986,12,
804,GACHANTIVA [24010810],1987,1,
805,GACHANTIVA [24010810],1987,2,
806,GACHANTIVA [24010810],1987,3,
807,GACHANTIVA [24010810],1987,4,
808,GACHANTIVA [24010810],1987,5,
809,GACHANTIVA [24010810],1987,6,
810,GACHANTIVA [24010810],1987,7,
811,GACHANTIVA [24010810],1987,8,
812,GACHANTIVA [24010810],1987,9,
813,GACHANTIVA [24010810],1987,10,
814,GACHANTIVA [24010810],1987,11,
815,GACHANTIVA [24010810],1987,12,
816,GACHANTIVA [24010810],1988,1,
817,GACHANTIVA [24010810],1988,2,
818,GACHANTIVA [24010810],1988,3,
819,GACHANTIVA [24010810],1988,4,
820,GACHANTIVA [24010810],1988,5,
821,GACHANTIVA [24010810],1988,6,
822,GACHANTIVA [24010810],1988,7,
823,GACHANTIVA [24010810],1988,8,
824,GACHANTIVA [24010810],1988,9,
825,GACHANTIVA [24010810],1988,10,
826,GACHANTIVA [24010810],1988,11,
827,GACHANTIVA [24010810],1988,12,
828,GACHANTIVA [24010810],1989,1,
829,GACHANTIVA [24010810],1989,2,
830,GACHANTIVA [24010810],1989,3,
831,GACHANTIVA [24010810],1989,4,
832,GACHANTIVA [24010810],1989,5,
833,GACHANTIVA [24010810],1989,6,
834,GACHANTIVA [24010810],1989,7,
835,GACHANTIVA [24010810],1989,8,
836,GACHANTIVA [24010810],1989,9,
837,GACHANTIVA [24010810],1989,10,
838,GACHANTIVA [24010810],1989,11,
839,GACHANTIVA [24010810],1989,12,
840,GACHANTIVA [24010810],1990,1,
841,GACHANTIVA [24010810],1990,2,
842,GACHANTIVA [24010810],1990,3,
843,GACHANTIVA [24010810],1990,4,
844,GACHANTIVA [24010810],1990,5,
845,GACHANTIVA [24010810],1990,6,
846,GACHANTIVA [24010810],1990,7,
847,GACHANTIVA [24010810],1990,8,
848,GACHANTIVA [24010810],1990,9,
849,GACHANTIVA [24010810],1990,10,
850,GACHANTIVA [24010810],1990,11,
851,GACHANTIVA [24010810],1990,12,
852,GACHANTIVA [24010810],1991,1,
853,GACHANTIVA [24010810],1991,2,
854,GACHANTIVA [24010810],1991,3,
855,GACHANTIVA [24010810],1991,4,
856,GACHANTIVA [24010810],1991,5,
857,GACHANTIVA [24010810],1991,6,
858,GACHANTIVA [24010810],1991,7,
859,GACHANTIVA [24010810],1991,8,
860,GACHANTIVA [24010810],1991,9,
861,GACHANTIVA [24010810],1991,10,
862,GACHANTIVA [24010810],1991,11,
863,GACHANTIVA [24010810],1991,12,
864,GACHANTIVA [24010810],1992,1,
865,GACHANTIVA [24010810],1992,2,
866,GACHANTIVA [24010810],1992,3,
867,GACHANTIVA [24010810],1992,4,
868,GACHANTIVA [24010810],1992,5,
869,GACHANTIVA [24010810],1992,6,
870,GACHANTIVA [24010810],1992,7,
871,GACHANTIVA [24010810],1992,8,
872,GACHANTIVA [24010810],1992,9,
873,GACHANTIVA [24010810],1992,10,
874,GACHANTIVA [24010810],1992,11,
875,GACHANTIVA [24010810],1992,12,
876,GACHANTIVA [24010810],1993,1,
877,GACHANTIVA [24010810],1993,2,
878,GACHANTIVA [24010810],1993,3,
879,GACHANTIVA [24010810],1993,4,
880,GACHANTIVA [24010810],1993,5,
881,GACHANTIVA [24010810],1993,6,
882,GACHANTIVA [24010810],1993,7,
883,GACHANTIVA [24010810],1993,8,
884,GACHANTIVA [24010810],1993,9,
885,GACHANTIVA [24010810],1993,10,
886,GACHANTIVA [24010810],1993,11,
887,GACHANTIVA [24010810],1993,12,
888,GACHANTIVA [24010810],1994,1,
889,GACHANTIVA [24010810],1994,2,
890,GACHANTIVA [24010810],1994,3,
891,GACHANTIVA [24010810],1994,4,
892,GACHANTIVA [24010810],1994,5,
893,GACHANTIVA [24010810],1994,6,
894,GACHANTIVA [24010810],1994,7,
895,GACHANTIVA [24010810],1994,8,
896,GACHANTIVA [24010810],1994,9,
897,GACHANTIVA [24010810],1994,10,
898,GACHANTIVA [24010810],1994,11,
899,GACHANTIVA [24010810],1994,12,
900,GACHANTIVA [24010810],1995,1,
901,GACHANTIVA [24010810],1995,2,
902,GACHANTIVA [24010810],1995,3,
903,GACHANTIVA [24010810],1995,4,
904,GACHANTIVA [24010810],1995,5,
905,GACHANTIVA [24010810],1995,6,
906,GACHANTIVA [24010810],1995,7,
907,GACHANTIVA [24010810],1995,8,
908,GACHANTIVA [24010810],1995,9,
909,GACHANTIVA [24010810],1995,10,
910,GACHANTIVA [24010810],1995,11,
911,GACHANTIVA [24010810],1995,12,
912,GACHANTIVA [24010810],1996,1,
913,GACHANTIVA [24010810],1996,2,
914,GACHANTIVA [24010810],1996,3,
915,GACHANTIVA [24010810],1996,4,
916,GACHANTIVA [24010810],1996,5,
917,GACHANTIVA [24010810],1996,6,
918,GACHANTIVA [24010810],1996,7,
919,GACHANTIVA [24010810],1996,8,
920,GACHANTIVA [24010810],1996,9,
921,GACHANTIVA [24010810],1996,10,
922,GACHANTIVA [24010810],1996,11,
923,GACHANTIVA [24010810],1996,12,
924,GACHANTIVA [24010810],1997,1,
925,GACHANTIVA [24010810],1997,2,
926,GACHANTIVA [24010810],1997,3,
927,GACHANTIVA [24010810],1997,4,
928,GACHANTIVA [24010810],1997,5,
929,GACHANTIVA [24010810],1997,6,
930,GACHANTIVA [24010810],1997,7,
931,GACHANTIVA [24010810],1997,8,
932,GACHANTIVA [24010810],1997,9,
933,GACHANTIVA [24010810],1997,10,
934,GACHANTIVA [24010810],1997,11,
935,GACHANTIVA [24010810],1997,12,
936,GACHANTIVA [24010810],1998,1,
937,GACHANTIVA [24010810],1998,2,
938,GACHANTIVA [24010810],1998,3,
939,GACHANTIVA [24010810],1998,4,
940,GACHANTIVA [24010810],1998,5,
941,GACHANTIVA [24010810],1998,6,
942,GACHANTIVA [24010810],1998,7,
943,GACHANTIVA [24010810],1998,8,
944,GACHANTIVA [24010810],1998,9,
945,GACHANTIVA [24010810],1998,10,
946,GACHANTIVA [24010810],1998,11,
947,GACHANTIVA [24010810],1998,12,
948,GACHANTIVA [24010810],1999,1,
949,GACHANTIVA [24010810],1999,2,
950,GACHANTIVA [24010810],1999,3,
951,GACHANTIVA [24010810],1999,4,
952,GACHANTIVA [24010810],1999,5,
953,GACHANTIVA [24010810],1999,6,
954,GACHANTIVA [24010810],1999,7,
955,GACHANTIVA [24010810],1999,8,
956,GACHANTIVA [24010810],1999,9,
957,GACHANTIVA [24010810],1999,10,
958,GACHANTIVA [24010810],1999,11,
959,GACHANTIVA [24010810],1999,12,
960,GACHANTIVA [24010810],2000,1,
961,GACHANTIVA [24010810],2000,2,
962,GACHANTIVA [24010810],2000,3,
963,GACHANTIVA [24010810],2000,4,
964,GACHANTIVA [24010810],2000,5,
965,GACHANTIVA [24010810],2000,6,
966,GACHANTIVA [24010810],2000,7,
967,GACHANTIVA [24010810],2000,8,
968,GACHANTIVA [24010810],2000,9,
969,GACHANTIVA [24010810],2000,10,
970,GACHANTIVA [24010810],2000,11,
971,GACHANTIVA [24010810],2000,12,
972,GACHANTIVA [24010810],2001,1,
973,GACHANTIVA [24010810],2001,2,
974,GACHANTIVA [24010810],2001,3,
975,GACHANTIVA [24010810],2001,4,
976,GACHANTIVA [24010810],2001,5,
977,GACHANTIVA [24010810],2001,6,
978,GACHANTIVA [24010810],2001,7,
979,GACHANTIVA [24010810],2001,8,
980,GACHANTIVA [24010810],2001,9,
981,GACHANTIVA [24010810],2001,10,
982,GACHANTIVA [24010810],2001,11,
983,GACHANTIVA [24010810],2001,12,
984,GACHANTIVA [24010810],2002,1,
985,GACHANTIVA [24010810],2002,2,
986,GACHANTIVA [24010810],2002,3,
987,GACHANTIVA [24010810],2002,4,
988,GACHANTIVA [24010810],2002,5,
989,GACHANTIVA [24010810],2002,6,
990,GACHANTIVA [24010810],2002,7,
991,GACHANTIVA [24010810],2002,8,
992,GACHANTIVA [24010810],2002,9,
993,GACHANTIVA [24010810],2002,10,
994,GACHANTIVA [24010810],2002,11,
995,GACHANTIVA [24010810],2002,12,
996,GACHANTIVA [24010810],2003,1,
997,GACHANTIVA [24010810],2003,2,
998,GACHANTIVA [24010810],2003,3,
999,GACHANTIVA [24010810],2003,4,
1000,GACHANTIVA [24010810],2003,5,
1001,GACHANTIVA [24010810],2003,6,
1002,GACHANTIVA [24010810],2003,7,
1003,GACHANTIVA [24010810],2003,8,
1004,GACHANTIVA [24010810],2003,9,
1005,GACHANTIVA [24010810],2003,10,
1006,GACHANTIVA [24010810],2003,11,
1007,GACHANTIVA [24010810],2003,12,
1008,GACHANTIVA [24010810],2004,1,
1009,GACHANTIVA [24010810],2004,2,
1010,GACHANTIVA [24010810],2004,3,
1011,GACHANTIVA [24010810],2004,4,
1012,GACHANTIVA [24010810],2004,5,
1013,GACHANTIVA [24010810],2004,6,
1014,GACHANTIVA [24010810],2004,7,
1015,GACHANTIVA [24010810],2004,8,
1016,GACHANTIVA [24010810],2004,9,
1017,GACHANTIVA [24010810],2004,10,
1018,GACHANTIVA [24010810],2004,11,
1019,GACHANTIVA [24010810],2004,12,
1020,GACHANTIVA [24010810],2005,1,
1021,GACHANTIVA [24010810],2005,2,
1022,GACHANTIVA [24010810],2005,3,
1023,GACHANTIVA [24010810],2005,4,
1024,GACHANTIVA [24010810],2005,5,
1025,GACHANTIVA [24010810],2005,6,
1026,GACHANTIVA [24010810],2005,7,
1027,GACHANTIVA [24010810],2005,8,
1028,GACHANTIVA [24010810],2005,9,
1029,GACHANTIVA [24010810],2005,10,
1030,GACHANTIVA [24010810],2005,11,
1031,GACHANTIVA [24010810],2005,12,
1032,GACHANTIVA [24010810],2006,1,
1033,GACHANTIVA [24010810],2006,2,
1034,GACHANTIVA [24010810],2006,3,
1035,GACHANTIVA [24010810],2006,4,
1036,GACHANTIVA [24010810],2006,5,
1037,GACHANTIVA [24010810],2006,6,
1038,GACHANTIVA [24010810],2006,7,
1039,GACHANTIVA [24010810],2006,8,
1040,GACHANTIVA [24010810],2006,9,
1041,GACHANTIVA [24010810],2006,10,
1042,GACHANTIVA [24010810],2006,11,
1043,GACHANTIVA [24010810],2006,12,
1044,GACHANTIVA [24010810],2007,1,
1045,GACHANTIVA [24010810],2007,2,
1046,GACHANTIVA [24010810],2007,3,
1047,GACHANTIVA [24010810],2007,4,
1048,GACHANTIVA [24010810],2007,5,
1049,GACHANTIVA [24010810],2007,6,
1050,GACHANTIVA [24010810],2007,7,
1051,GACHANTIVA [24010810],2007,8,
1052,GACHANTIVA [24010810],2007,9,
1053,GACHANTIVA [24010810],2007,10,
1054,GACHANTIVA [24010810],2007,11,
1055,GACHANTIVA [24010810],2007,12,
1056,GACHANTIVA [24010810],2008,1,
1057,GACHANTIVA [24010810],2008,2,
1058,GACHANTIVA [24010810],2008,3,
1059,GACHANTIVA [24010810],2008,4,
1060,GACHANTIVA [24010810],2008,5,
1061,GACHANTIVA [24010810],2008,6,
1062,GACHANTIVA [24010810],2008,7,
1063,GACHANTIVA [24010810],2008,8,
1064,GACHANTIVA [24010810],2008,9,
1065,GACHANTIVA [24010810],2008,10,
1066,GACHANTIVA [24010810],2008,11,
1067,GACHANTIVA [24010810],2008,12,
1068,GACHANTIVA [24010810],2009,1,
1069,GACHANTIVA [24010810],2009,2,
1070,GACHANTIVA [24010810],2009,3,
1071,GACHANTIVA [24010810],2009,4,
1072,GACHANTIVA [24010810],2009,5,
1073,GACHANTIVA [24010810],2009,6,
1074,GACHANTIVA [24010810],2009,7,
1075,GACHANTIVA [24010810],2009,8,
1076,GACHANTIVA [24010810],2009,9,
1077,GACHANTIVA [24010810],2009,10,
1078,GACHANTIVA [24010810],2009,11,
1079,GACHANTIVA [24010810],2009,12,
1080,GACHANTIVA [24010810],2010,1,
1081,GACHANTIVA [24010810],2010,2,
1082,GACHANTIVA [24010810],2010,3,
1083,GACHANTIVA [24010810],2010,4,
1084,GACHANTIVA [24010810],2010,5,
1085,GACHANTIVA [24010810],2010,6,
1086,GACHANTIVA [24010810],2010,7,
1087,GACHANTIVA [24010810],2010,8,
1088,GACHANTIVA [24010810],2010,9,
1089,GACHANTIVA [24010810],2010,10,
1090,GACHANTIVA [24010810],2010,11,
1091,GACHANTIVA [24010810],2010,12,
1092,GACHANTIVA [24010810],2011,1,
1093,GACHANTIVA [24010810],2011,2,
1094,GACHANTIVA [24010810],2011,3,
1095,GACHANTIVA [24010810],2011,4,
1096,GACHANTIVA [24010810],2011,5,
1097,GACHANTIVA [24010810],2011,6,
1098,GACHANTIVA [24010810],2011,7,
1099,GACHANTIVA [24010810],2011,8,
1100,GACHANTIVA [24010810],2011,9,
1101,GACHANTIVA [24010810],2011,10,
1102,GACHANTIVA [24010810],2011,11,
1103,GACHANTIVA [24010810],2011,12,
1104,GACHANTIVA [24010810],2012,1,
1105,GACHANTIVA [24010810],2012,2,
1106,GACHANTIVA [24010810],2012,3,
1107,GACHANTIVA [24010810],2012,4,
1108,GACHANTIVA [24010810],2012,5,
1109,GACHANTIVA [24010810],2012,6,
1110,GACHANTIVA [24010810],2012,7,
1111,GACHANTIVA [24010810],2012,8,
1112,GACHANTIVA [24010810],2012,9,
1113,GACHANTIVA [24010810],2012,10,
1114,GACHANTIVA [24010810],2012,11,
1115,GACHANTIVA [24010810],2012,12,
1116,GACHANTIVA [24010810],2013,1,
1117,GACHANTIVA [24010810],2013,2,
1118,GACHANTIVA [24010810],2013,3,
1119,GACHANTIVA [24010810],2013,4,
1120,GACHANTIVA [24010810],2013,5,
1121,GACHANTIVA [24010810],2013,6,
1122,GACHANTIVA [24010810],2013,7,
1123,GACHANTIVA [24010810],2013,8,
1124,GACHANTIVA [24010810],2013,9,
1125,GACHANTIVA [24010810],2013,10,
1126,GACHANTIVA [24010810],2013,11,
1127,GACHANTIVA [24010810],2013,12,
1128,GACHANTIVA [24010810],2014,1,
1129,GACHANTIVA [24010810],2014,2,
1130,GACHANTIVA [24010810],2014,3,
1131,GACHANTIVA [24010810],2014,4,
1132,GACHANTIVA [24010810],2014,5,
1133,GACHANTIVA [24010810],2014,6,
1134,GACHANTIVA [24010810],2014,7,
1135,GACHANTIVA [24010810],2014,8,
1136,GACHANTIVA [24010810],2014,9,
1137,GACHANTIVA [24010810],2014,10,
1138,GACHANTIVA [24010810],2014,11,
1139,GACHANTIVA [24010810],2014,12,
1140,GACHANTIVA [24010810],2015,1,
1141,GACHANTIVA [24010810],2015,2,
1142,GACHANTIVA [24010810],2015,3,
1143,GACHANTIVA [24010810],2015,4,
1144,GACHANTIVA [24010810],2015,5,
1145,GACHANTIVA [24010810],2015,6,
1146,GACHANTIVA [24010810],2015,7,
1147,GACHANTIVA [24010810],2015,8,
1148,GACHANTIVA [24010810],2015,9,
1149,GACHANTIVA [24010810],2015,10,
1150,GACHANTIVA [24010810],2015,11,
1151,GACHANTIVA [24010810],2015,12,
1152,GACHANTIVA [24010810],2016,1,
1153,GACHANTIVA [24010810],2016,2,
1154,GACHANTIVA [24010810],2016,3,
1155,GACHANTIVA [24010810],2016,4,
1156,GACHANTIVA [24010810],2016,5,
1157,GACHANTIVA [24010810],2016,6,
1158,GACHANTIVA [24010810],2016,7,
1159,GACHANTIVA [24010810],2016,8,
1160,GACHANTIVA [24010810],2016,9,
1161,GACHANTIVA [24010810],2016,10,
1162,GACHANTIVA [24010810],2016,11,
1163,GACHANTIVA [24010810],2016,12,
1164,GACHANTIVA [24010810],2017,1,
1165,GACHANTIVA [24010810],2017,2,
1166,GACHANTIVA [24010810],2017,3,
1167,GACHANTIVA [24010810],2017,4,
1168,GACHANTIVA [24010810],2017,5,
1169,GACHANTIVA [24010810],2017,6,
1170,GACHANTIVA [24010810],2017,7,
1171,GACHANTIVA [24010810],2017,8,
1172,GACHANTIVA [24010810],2017,9,
1173,GACHANTIVA [24010810],2017,10,
1174,GACHANTIVA [24010810],2017,11,
1175,GACHANTIVA [24010810],2017,12,
1176,GACHANTIVA [24010810],2018,1,
1177,GACHANTIVA [24010810],2018,2,
1178,GACHANTIVA [24010810],2018,3,
1179,GACHANTIVA [24010810],2018,4,
1180,GACHANTIVA [24010810],2018,5,
1181,GACHANTIVA [24010810],2018,6,
1182,GACHANTIVA [24010810],2018,7,
1183,GACHANTIVA [24010810],2018,8,
1184,GACHANTIVA [24010810],2018,9,
1185,GACHANTIVA [24010810],2018,10,
1186,GACHANTIVA [24010810],2018,11,
1187,GACHANTIVA [24010810],2018,12,
1188,GACHANTIVA [24010810],2019,1,
1189,GACHANTIVA [24010810],2019,2,
1190,GACHANTIVA [24010810],2019,3,
1191,GACHANTIVA [24010810],2019,4,
1192,GACHANTIVA [24010810],2019,5,
1193,GACHANTIVA [24010810],2019,6,
1194,GACHANTIVA [24010810],2019,7,
1195,GACHANTIVA [24010810],2019,8,
1196,GACHANTIVA [24010810],2019,9,
1197,GACHANTIVA [24010810],2019,10,
1198,GACHANTIVA [24010810],2019,11,
1199,GACHANTIVA [24010810],2019,12,
1200,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,1,
1201,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,2,
1202,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,3,
1203,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,4,
1204,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,5,
1205,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,6,
1206,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,7,
1207,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,8,
1208,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,9,
1209,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,10,
1210,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,11,
1211,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1970,12,
1212,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,1,
1213,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,2,
1214,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,3,
1215,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,4,
1216,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,5,
1217,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,6,
1218,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,7,
1219,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,8,
1220,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,9,
1221,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,10,
1222,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,11,
1223,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1971,12,
1224,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,1,
1225,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,2,
1226,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,3,
1227,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,4,
1228,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,5,
1229,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,6,
1230,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,7,
1231,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,8,
1232,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,9,
1233,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,10,
1234,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,11,
1235,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1972,12,
1236,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,1,
1237,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,2,
1238,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,3,
1239,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,4,
1240,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,5,
1241,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,6,
1242,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,7,
1243,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,8,
1244,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,9,
1245,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,10,
1246,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,11,
1247,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1973,12,
1248,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,1,
1249,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,2,
1250,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,3,
1251,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,4,
1252,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,5,
1253,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,6,
1254,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,7,
1255,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,8,
1256,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,9,
1257,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,10,
1258,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,11,
1259,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1974,12,
1260,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,1,
1261,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,2,
1262,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,3,
1263,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,4,
1264,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,5,
1265,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,6,
1266,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,7,
1267,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,8,
1268,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,9,
1269,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,10,
1270,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,11,
1271,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1975,12,
1272,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,1,
1273,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,2,
1274,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,3,
1275,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,4,
1276,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,5,
1277,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,6,
1278,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,7,
1279,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,8,
1280,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,9,
1281,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,10,
1282,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,11,
1283,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1976,12,
1284,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,1,
1285,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,2,
1286,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,3,
1287,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,4,
1288,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,5,
1289,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,6,
1290,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,7,
1291,INSTITUCION AGRICOLA SANTA SOFIA [24015090],1977,8,
